Instance,Runtime,Dual_Bound,Primal_Bound,Lambdas,Optimal_Lambda,Optimal_Value
1,0.005000114440917969,"[0.9895142257278349, 0.9872921993644805, 0.9863069489888616, 0.9858407018175616, 0.985607873188451, 0.9854923870514517, 0.9854346439829523, 0.9854058784173481, 0.9853916187024119]","[0.9844646450311058, 0.9852792640167843, 0.9853744546462606, 0.9853744546462606, 0.9853769009144524, 0.9853769009144524, 0.9853769009144524, 0.9853773589874757, 0.9853773589874757]","[0.00019992884745608349, 9.996442372804174e-05, 4.998221186402087e-05, 2.4991105932010436e-05, 1.2495552966005218e-05, 6.247776483002609e-06, 3.1238882415013045e-06, 1.5619441207506522e-06, 7.809720603753261e-07]",7.809720603753261e-07,0.9853773589874757
2,0.00800013542175293,"[0.9888419115448058, 0.9866752967212736, 0.9857096958937941, 0.9852534113879312, 0.9850313232236623, 0.9849209203691945, 0.9848657189419612, 0.9848381182283441, 0.9848243178715358]","[0.9839030285001263, 0.9847061163475502, 0.9847643130349271, 0.9848078254831566, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274, 0.9848105175147274]","[0.00019997514917033664, 9.998757458516832e-05, 4.999378729258416e-05, 2.499689364629208e-05, 1.249844682314604e-05, 6.24922341157302e-06, 3.12461170578651e-06, 1.562305852893255e-06, 7.811529264466275e-07]",7.811529264466275e-07,0.9848105175147274
3,0.016000032424926758,"[0.9879860582334485, 0.9858371346861183, 0.9849222971974958, 0.9844953202570863, 0.9842842055688037, 0.9841786482246625, 0.9841265336695575, 0.9841005084541041, 0.9840874958463771]","[0.9831015626537315, 0.9839159562058926, 0.984047813158026, 0.984073090880521, 0.984073090880521, 0.984073090880521, 0.9840744832386504, 0.9840744832386504, 0.9840744832386504]","[0.00019984560030578545, 9.992280015289272e-05, 4.996140007644636e-05, 2.498070003822318e-05, 1.249035001911159e-05, 6.245175009555795e-06, 3.1225875047778977e-06, 1.5612937523889488e-06, 7.806468761944744e-07]",7.806468761944744e-07,0.9840744832386504
4,0.013000011444091797,"[0.9906803141940794, 0.9884925246091957, 0.9874636800614894, 0.9869885361655216, 0.9867602804152243, 0.9866500091077338, 0.9865948734539883, 0.9865673056271157, 0.9865535217136796]","[0.9862325651979212, 0.9863605329599991, 0.9864956543996539, 0.9865275165004296, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433, 0.9865397378002433]","[0.00019988073860740553, 9.994036930370277e-05, 4.997018465185138e-05, 2.498509232592569e-05, 1.2492546162962846e-05, 6.246273081481423e-06, 3.1231365407407115e-06, 1.5615682703703557e-06, 7.807841351851779e-07]",7.807841351851779e-07,0.9865397378002433
5,0.009999990463256836,"[0.9902217385549182, 0.9879745182302123, 0.9869919568102148, 0.9865224020937134, 0.9862974772890452, 0.9861872301232428, 0.9861342685695108, 0.9861077877926453, 0.9860945474042124]","[0.9849940242761764, 0.9859125404094055, 0.9860299031399519, 0.9860578147765214, 0.986073651841755, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796, 0.9860813070157796]","[0.00019992577828731003, 9.996288914365501e-05, 4.998144457182751e-05, 2.4990722285913753e-05, 1.2495361142956877e-05, 6.247680571478438e-06, 3.123840285739219e-06, 1.5619201428696096e-06, 7.809600714348048e-07]",7.809600714348048e-07,0.9860813070157796
6,0.01699995994567871,"[0.988379745633114, 0.9860127124575119, 0.9849879617362756, 0.9844822539870384, 0.98423672892487, 0.984117240952909, 0.9840579281791879, 0.9840285563351172, 0.9840138704130814]","[0.9831818795271013, 0.9839355233775381, 0.9839753848021922, 0.9839843697347884, 0.9839977529809472, 0.9839977529809472, 0.983999184491046, 0.983999184491046, 0.983999184491046]","[0.00019985411669230183, 9.992705834615092e-05, 4.996352917307546e-05, 2.498176458653773e-05, 1.2490882293268865e-05, 6.245441146634432e-06, 3.122720573317216e-06, 1.561360286658608e-06, 7.80680143329304e-07]",7.80680143329304e-07,0.983999184491046
7,0.01900005340576172,"[0.9894904678878474, 0.9873080917441757, 0.9863266787991817, 0.9858609221256581, 0.9856323286903059, 0.9855209139697294, 0.9854652467482249, 0.9854374131374728, 0.9854234963320958]","[0.984701360022114, 0.9852691684314152, 0.9853666266119006, 0.9854022680734356, 0.9854070055364057, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201, 0.9854095795267201]","[0.00019986131744280603, 9.993065872140301e-05, 4.9965329360701507e-05, 2.4982664680350753e-05, 1.2491332340175377e-05, 6.245666170087688e-06, 3.122833085043844e-06, 1.561416542521922e-06, 7.80708271260961e-07]",7.80708271260961e-07,0.9854095795267201
8,0.0009999275207519531,"[0.9877207554438671, 0.985644907299357, 0.9847378762066619, 0.984319433909047, 0.9841150510733367, 0.9840148927067774, 0.9839655598726599, 0.983940893455601, 0.9839285602470718]","[0.9831002553014825, 0.9837536987623119, 0.9838834097061687, 0.9839062189035073, 0.9839123559948569, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425, 0.9839162270385425]","[0.0001997886782225737, 9.989433911128685e-05, 4.9947169555643426e-05, 2.4973584777821713e-05, 1.2486792388910856e-05, 6.243396194455428e-06, 3.121698097227714e-06, 1.560849048613857e-06, 7.804245243069285e-07]",7.804245243069285e-07,0.9839162270385425
9,0.01699995994567871,"[0.9878296177139958, 0.985460721541277, 0.9844302887813073, 0.983945903327731, 0.9837089918206008, 0.9835905360670355, 0.983531308190253, 0.9835016942518621, 0.9834868872826663]","[0.982728204456677, 0.9832102836866876, 0.9834436231024594, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708, 0.9834720803134708]","[0.00019985939755469312, 9.992969877734656e-05, 4.996484938867328e-05, 2.498242469433664e-05, 1.249121234716832e-05, 6.24560617358416e-06, 3.12280308679208e-06, 1.56140154339604e-06, 7.8070077169802e-07]",7.8070077169802e-07,0.9834720803134708
10,0.016000032424926758,"[0.99059620423831, 0.9882976201171662, 0.9873327646283158, 0.9868666665743194, 0.9866368940370912, 0.9865239354260862, 0.9864680221265393, 0.986440065476766, 0.9864260871518794]","[0.9855759512155842, 0.9862688161894537, 0.9863881365269157, 0.9864071214998633, 0.9864071214998633, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926, 0.9864121088269926]","[0.0001999711135365527, 9.998555676827635e-05, 4.9992778384138176e-05, 2.4996389192069088e-05, 1.2498194596034544e-05, 6.249097298017272e-06, 3.124548649008636e-06, 1.562274324504318e-06, 7.81137162252159e-07]",7.81137162252159e-07,0.9864121088269926
