Instance,Runtime,Optimal_Value
1,0.006999969482421875,0.5051598474010114
2,0.002000093460083008,0.665778022248497
3,0.004999876022338867,0.5860772381431256
4,0.003999948501586914,0.5002104764686907
5,0.004999876022338867,0.6368081973935169
6,0.00800013542175293,0.615711695902684
7,0.0019998550415039062,0.6167270302351567
8,0.015000104904174805,0.5881676473285752
9,0.00800013542175293,0.48755645885707216
10,0.003000020980834961,0.6100996397043438
11,0.0070002079010009766,0.6238934175515555
12,0.01399993896484375,0.6128781941669699
13,0.006999969482421875,0.29917068520107803
14,0.010999917984008789,0.5126429548780473
15,0.006000041961669922,0.5171097916937513
16,0.009000062942504883,0.5634031536123149
17,0.009000062942504883,0.5096404334498239
18,0.0019998550415039062,0.5192165501049865
19,0.006999969482421875,0.6429737470941655
20,0.008999824523925781,0.6886713967992117
21,0.006999969482421875,0.4999667916933303
22,0.012000083923339844,0.46821563862252275
23,0.010999917984008789,0.568434756965498
24,0.012000083923339844,0.4611381704771727
25,0.006999969482421875,0.4624609715593937
26,0.006999969482421875,0.5504207042118355
27,0.0070002079010009766,0.3713707255124445
28,0.006999969482421875,0.3985818607466571
29,0.010999917984008789,0.5722708557427066
30,0.004999876022338867,0.4586099162005257
31,0.006999969482421875,0.5852970225283178
32,0.009000062942504883,0.5875327959066817
33,0.008999824523925781,0.5560818730666934
34,0.003999948501586914,0.44249727979186615
35,0.004000186920166016,0.6298634415132314
36,0.003000020980834961,0.6229605602259193
37,0.0019998550415039062,0.6975114820498299
38,0.009000062942504883,0.5226486324945635
39,0.006999969482421875,0.6579081217391233
40,0.006999969482421875,0.5523203814098541
41,0.006999969482421875,0.5858678378893509
42,0.004000186920166016,0.2557855016505
43,0.006000041961669922,0.5815699122170171
44,0.006000041961669922,0.43204487703987104
45,0.010999917984008789,0.49819406807504657
46,0.008999824523925781,0.5939364297896605
47,0.009000062942504883,0.45368943715180643
48,0.005000114440917969,0.5701853937774584
49,0.03800010681152344,0.4664899041719747
50,0.013000011444091797,0.5678500088457547
51,0.00599980354309082,0.4944316199992456
52,0.007999897003173828,0.46726307028245945
53,0.006999969482421875,0.5400719484934353
54,0.009999990463256836,0.5811325934342193
55,0.007999897003173828,0.5510048679979019
56,0.00599980354309082,0.611687679359684
57,0.006000041961669922,0.5353695634733238
58,0.008999824523925781,0.48018553752733756
59,0.009000062942504883,0.5530266113917623
60,0.0009999275207519531,0.7085400424419916
61,0.004999876022338867,0.41794717770203077
62,0.017999887466430664,0.5741828440306019
63,0.03099989891052246,0.5540511652208987
64,0.013000011444091797,0.5976637535928131
65,0.021999835968017578,0.45789336825332805
66,0.02500009536743164,0.5867729850267434
67,0.009999990463256836,0.5788818527745545
68,0.029999971389770508,0.4059153834647778
69,0.02200007438659668,0.5784712970971391
70,0.005000114440917969,0.6277888432299321
71,0.007999897003173828,0.5545294817735436
72,0.006000041961669922,0.598888485471782
73,0.006000041961669922,0.29130576254052915
74,0.008999824523925781,0.49420792821667153
75,0.004999876022338867,0.44255737013951213
76,0.003000020980834961,0.6640981787402246
77,0.006999969482421875,0.49609331349347774
78,0.007999897003173828,0.5782745179129638
79,0.003999948501586914,0.5114958477900888
80,0.009000062942504883,0.38556737182120465
81,0.009000062942504883,0.2758770905098237
82,0.006000041961669922,0.6494214350907989
83,0.005000114440917969,0.5592751604916226
84,0.005000114440917969,0.44079176097952955
85,0.0070002079010009766,0.562710006231181
86,0.009000062942504883,0.5496006643472087
87,0.05800008773803711,0.4507122348309681
88,0.01100015640258789,0.3426531258655089
89,0.006999969482421875,0.6048218097395497
90,0.006000041961669922,0.5382793344973497
91,0.007999897003173828,0.6354089344759333
92,0.00599980354309082,0.4765568952604912
93,0.007999897003173828,0.4463184147105359
94,0.006999969482421875,0.5388981102219531
95,0.005000114440917969,0.6118731243199949
96,0.003000020980834961,0.5324543076401836
97,0.007999897003173828,0.6545519985628638
98,0.003000020980834961,0.5903685608845293
99,0.00599980354309082,0.4564165293113215
100,0.010999917984008789,0.45089873809672754
